,authors,,,title
,Suzanne Collins,,,"The Hunger Games (The Hunger Games, #1)"
,"J.K. Rowling, Mary GrandPré",,,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
,Stephenie Meyer,,,"Twilight (Twilight, #1)"
,Harper Lee,,,To Kill a Mockingbird
,F. Scott Fitzgerald,,,The Great Gatsby
,John Green,,,The Fault in Our Stars
,J.R.R. Tolkien,,,The Hobbit
,J.D. Salinger,,,The Catcher in the Rye
,Dan Brown,,,"Angels & Demons  (Robert Langdon, #1)"
,Jane Austen,,,Pride and Prejudice
,Khaled Hosseini,,,The Kite Runner
,Veronica Roth,,,"Divergent (Divergent, #1)"
,"George Orwell, Erich Fromm, Celâl Üster",,,1984
,George Orwell,,,Animal Farm
,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",,,The Diary of a Young Girl
,"Stieg Larsson, Reg Keeland",,,"The Girl with the Dragon Tattoo (Millennium, #1)"
,Suzanne Collins,,,"Catching Fire (The Hunger Games, #2)"
,"J.K. Rowling, Mary GrandPré, Rufus Beck",,,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
,J.R.R. Tolkien,,,"The Fellowship of the Ring (The Lord of the Rings, #1)"
,Suzanne Collins,,,"Mockingjay (The Hunger Games, #3)"
,"J.K. Rowling, Mary GrandPré",,,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
,Alice Sebold,,,The Lovely Bones
,"J.K. Rowling, Mary GrandPré",,,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
,"J.K. Rowling, Mary GrandPré",,,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
,"J.K. Rowling, Mary GrandPré",,,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
,Dan Brown,,,"The Da Vinci Code (Robert Langdon, #2)"
,"J.K. Rowling, Mary GrandPré",,,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
,William Golding,,,Lord of the Flies
,"William Shakespeare, Robert           Jackson",,,Romeo and Juliet
,Gillian Flynn,,,Gone Girl
,Kathryn Stockett,,,The Help
,John Steinbeck,,,Of Mice and Men
,Arthur Golden,,,Memoirs of a Geisha
,E.L. James,,,"Fifty Shades of Grey (Fifty Shades, #1)"
,"Paulo Coelho, Alan R. Clarke",,,The Alchemist
,Lois Lowry,,,"The Giver (The Giver, #1)"
,C.S. Lewis,,,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
,Audrey Niffenegger,,,The Time Traveler's Wife
,George R.R. Martin,,,"A Game of Thrones (A Song of Ice and Fire, #1)"
,Elizabeth Gilbert,,,"Eat, Pray, Love"
